10115,-29548,-298848472,-298878020
-5638,15819,-89187522,-89187522
-26253,13608,-357264432,-357250824
31571,327,10323390,10323717
23915,18909,452208735,452208735
31566,13246,418123236,418123236
23125,-15909,-367895625,-367895625
-19450,12441,-241977450,-241977450
17556,23251,408194556,408194556
-18850,6001,-113118850,-113118850
-32600,-28138,917298800,917298800
-13801,-16087,222016687,222016687
16284,-23065,-375590460,-375590460
-657,-14110,9270270,9270270
27169,-29685,-806511765,-806511765
6893,-29085,-200511990,-200482905
-21335,1550,-33069250,-33069250
-20637,11094,-228957972,-228946878
29790,-28878,-860275620,-860275620
1485,32234,48415468,47867490
-4537,24450,-110929650,-110929650
10773,7476,80538948,80538948
1404,30464,42771456,42771456
-4761,26858,-127870938,-127870938
25266,-28823,-728241918,-728241918
-11753,32199,-378434847,-378434847
29964,9344,279983616,279983616
11459,13635,156229830,156243465
26997,29793,804321621,804321621
1990,10970,21830300,21830300
11108,31434,349168872,349168872
10632,-16741,-177990312,-177990312
25451,-3615,-92005365,-92005365
9678,2104,20396176,20362512
-31919,22105,-705569495,-705569495
16807,-5812,-97682284,-97682284
-20184,-6523,131764600,131660232
-29443,-2290,67422180,67424470
-9174,-25791,237019290,236606634
-11667,-28366,330917756,330946122
-20042,12593,-252388906,-252388906
-24190,-11484,277797960,277797960
-26041,9288,-241868808,-241868808
16611,-26532,-440696520,-440723052
-14915,-19686,293597004,293616690
-16503,31747,-523920741,-523920741
7119,-10530,-75131550,-74963070
-5725,-8293,47485718,47477425
19201,19629,376896429,376896429
18738,-10258,-192050276,-192214404
-16402,-28178,462175556,462175556
11773,17645,207752230,207734585
-23990,-8873,212863270,212863270
-24592,-16188,398095296,398095296
-7065,12189,-86115285,-86115285
27269,-22063,-601635947,-601635947
12194,17448,212760912,212760912
8003,6335,50692670,50699005
-4218,-26660,112451880,112451880
1275,-4748,-6053700,-6053700
20222,25439,514427458,514427458
10447,-16622,-173915986,-173650034
14966,-23073,-345310518,-345310518
22938,-4417,-101317146,-101317146
24890,5837,145282930,145282930
8158,-27543,-224695794,-224695794
11248,14457,162612336,162612336
-13889,-28600,397225400,397225400
-14974,17183,-257298242,-257298242
24117,31559,760603459,761108403
7506,13642,102396852,102396852
-19464,-20449,398019336,398019336
-8942,-14844,132735048,132735048
19027,20038,381242988,381263026
29200,30430,888556000,888556000
30570,12159,371700630,371700630
2393,-32462,-77681566,-77681566
17161,-4043,-69381923,-69381923
-29819,-7773,231783087,231783087
30880,-4517,-139484960,-139484960
-22915,21073,-482866722,-482887795
-23433,16918,-396439494,-396439494
-14551,20922,-304770774,-304436022
5048,-13617,-68738616,-68738616
6207,7101,44075907,44075907
-12185,9474,-115440690,-115440690
-31451,-22090,694752590,694752590
-22043,-22420,494204060,494204060
-17095,-17870,305487650,305487650
10246,30177,309193542,309193542
10051,-14291,-143624550,-143638841
-26012,25452,-662057424,-662057424
-3448,4432,-15281536,-15281536
2816,4879,13739264,13739264
3136,-29135,-91367360,-91367360
18114,-8260,-149621640,-149621640
7626,-766,-5853772,-5841516
-9730,-7721,75125330,75125330
-27773,-9558,265463892,265454334
3720,-2068,-7692960,-7692960
-25724,25032,-643923168,-643923168
-3461,-16429,56860769,56860769
7984,-29048,-231454464,-231919232
20548,-28671,-589131708,-589131708
-13342,7640,-101932880,-101932880
-18939,-30162,571238118,571238118
2708,-30245,-81903460,-81903460
28664,-31199,-894288136,-894288136
3547,3883,13773001,13773001
-31531,9406,-296430090,-296580586
-17149,-21554,369651100,369629546
-14621,-16604,242783688,242767084
-15688,6243,-97940184,-97940184
-16440,28422,-466802928,-467257680
-28415,-11398,323874170,323874170
-17751,4864,-86340864,-86340864
19952,6287,125438224,125438224
-15425,18197,-280688725,-280688725
-6183,-7266,44925678,44925678
-22043,26908,-593133044,-593133044
2416,-4142,-10007072,-10007072
-3499,-29115,101873385,101873385
8596,-17610,-151375560,-151375560
-4084,-25989,106139076,106139076
22588,32496,734019648,734019648
-20992,10199,-214097408,-214097408
-25277,14068,-355610904,-355596836
-2370,-28720,68066400,68066400
-25739,-23635,608341265,608341265
21892,-4745,-103877540,-103877540
-16965,15762,-267402330,-267402330
5230,8038,42038740,42038740
12215,15898,194194070,194194070
17621,-15975,-281751075,-281495475
-8541,-22257,190119294,190097037
-20881,12022,-251031382,-251031382
30430,12983,395072690,395072690
-7856,-31309,245963504,245963504
26087,23235,606131445,606131445
9309,-24750,-230422500,-230397750
-11731,23937,-281164002,-280804947
-30894,6247,-192994818,-192994818
-21108,13396,-282762768,-282762768
-11032,19956,-220154592,-220154592
-24374,-24623,599767034,600161002
-26311,23413,-616019443,-616019443
6630,5522,36610860,36610860
8192,6768,55443456,55443456
16550,-10456,-173046800,-173046800
30653,11174,342527796,342516622
1572,-8919,-14020668,-14020668
